"hitter_name","batter"
"Bauers, Jake",641343
"Wood, Alex",622072
"González, Erik",570481
"Stallings, Jacob",607732
"Hanson, Alen",593700
"Mejía, Francisco",642336
"Toles, Andrew",592808
"Pillar, Kevin",607680
"LaMarre, Ryan",534606
"Samardzija, Jeff",502188
"Utley, Chase",400284
"Sucre, Jesús",491696
"Mahtook, Mikie",543484
"Travis, Sam",607752
"Mazara, Nomar",608577
"Granderson, Curtis",434158
"Kelly, Ty",571841
"Dickerson, Corey",572816
"Astudillo, Willians",553902
"Scherzer, Max",453286
"Cueto, Johnny",456501
"Meadows, Austin",640457
"Maeda, Kenta",628317
"Allen, Greg",656185
"Naquin, Tyler",571980
"Romine, Austin",519222
"Fowler, Dustin",641583
"Anderson, Tyler",542881
"Ramos, Wilson",467092
"Quintana, José",500779
"Marisnick, Jake",545350
"Lamb, Jake",571875
"Lauer, Eric",641778
"Herrmann, Chris",543302
"Adams, Matt",571431
"Frazier, Jackson",640449
"Villar, Jonathan",542340
"Guerra, Junior",448855
"Kieboom, Spencer",571851
"Santana, Danny",542454
"Snell, Blake",605483
"Field, Johnny",608654
"Makita, Kazuhisa",628318
"Andreoli, John",607430
"Severino, Pedro",600474
"Frazier, Todd",453943
"Matz, Steven",571927
"Schebler, Scott",594988
"Vázquez, Christian",543877
"Sánchez, Aníbal",434671
"Cooper, Garrett",643265
"Mahle, Tyler",641816
"Tapia, Raimel",606132
"Cozens, Dylan",622226
"Miller, Shelby",571946
"Panik, Joe",605412
"Eaton, Adam",594809
"Liriano, Francisco",434538
"Hicks, Jordan",663855
"Romo, Sergio",489265
"Sandoval, Pablo",467055
"Kingham, Nick",592468
"O'Neill, Tyler",641933
"Eovaldi, Nathan",543135
"Bumgarner, Madison",518516
"Martinez, Carlos",593372
"Dyson, Jarrod",502481
"Brinson, Lewis",621446
"Lynn, Lance",458681
"Walker, Christian",572233
"Tilson, Charlie",605508
"Johnson, Pierce",572955
"Wilkerson, Stevie",592859
"Williams, Trevor",592866
"Chatwood, Tyler",543022
"Young, Chris",455759
"Musgrove, Joe",605397
"Berríos, José",621244
"Fedde, Erick",607200
"Farrell, Luke",608652
"McCann, Brian",435263
"Chisenhall, Lonnie",502082
"Sogard, Eric",519299
"Stripling, Ross",548389
"Almonte, Abraham",501659
"Correa, Carlos",621043
"Smith, Dominic",642086
"Kaczmarski, Kevin",664842
"Sánchez, Gary",596142
"Goins, Ryan",572365
"Beck, Chris",571476
"Suárez, Andrew",605498
"Romine, Andrew",461865
"Richards, Trevor",670950
"DeSclafani, Anthony",543101
"Gentry, Craig",502226
"Cashner, Andrew",488768
"Williamson, Mac",607776
"Frazier, Adam",624428
"Wynns, Austin",642851
"Szczur, Matt",519333
"Suter, Brent",608718
"Bourjos, Peter",488721
"Montas, Frankie",593423
"Romano, Sal",607219
"Greiner, Grayson",606988
"deGrom, Jacob",594798
"Voit, Luke",572228
"Thompson, Trayce",572204
"Refsnyder, Rob",608701
"Bruce, Jay",457803
"Farmer, Kyle",571657
"Trevino, Jose",624431
"Marrero, Deven",571918
"Lyles, Jordan",543475
"Crawford, J.P.",641487
"Wendle, Joey",621563
"Leiter Jr., Mark",643410
"McCarthy, Brandon",435221
"Wacha, Michael",608379
"Smolinski, Jake",519295
"Gimenez, Chris",460269
"Shuck, JB",543776
"Torreyes, Ronald",591720
"Koch, Matt",571863
"Austin, Tyler",592122
"Arroyo, Christian",624414
"Smith, Caleb",592761
"Sanó, Miguel",593934
"Fontana, Nolan",545337
"Cozart, Zack",446359
"Pérez, Carlos",542208
"Colon, Bartolo",112526
"Sewald, Paul",623149
"Santana, Domingo",570267
"Fernández, José Miguel",628336
"Sisco, Chance",642082
"Torres, Ramón",593527
"Tauchman, Mike",643565
"Sanchez, Adrián",506703
"Germán, Domingo",593334
"Rondón, José",602922
"Kuhl, Chad",641771
"Cabrera, Miguel",408234
"Machado, Dixon",553988
"Yates, Kirby",489446
"Roark, Tanner",543699
"Soler, Jorge",624585
"Negrón, Kristopher",502117
"Eflin, Zach",621107
"Hermosillo, Michael",641684
"Guillorme, Luis",641645
"Lester, Jon",452657
"González, Adrián",408236
"Bettis, Chad",518452
"González, Alfredo",554054
"Greinke, Zack",425844
"Harvey, Matt",518774
"Valera, Breyvic",591971
"Alexander, Scott",518397
"Joyce, Matt",459964
"Susac, Andrew",572180
"Lucchesi, Joey",664192
"Turnbull, Spencer",605513
"Lugo, Dawel",608475
"Donaldson, Josh",518626
"Garcia, Aramis",605244
"Robles, Victor",645302
"Johnson, Sherman",582473
"Robinson, Drew",592685
"Mills, Alec",621219
"McGuire, Reese",624512
"Hudson, Joe",621529
"Kozma, Pete",518902
"Tellez, Rowdy",642133
"Phillips, Brandon",408252
"Young Jr., Eric",458913
"Kramer, Kevin",596012
"Martini, Nick",605361
"Dahl, David",621311
"Kivlehan, Patrick",623182
"Wisdom, Patrick",621550
"Moore, Adam",446192
"Urena, Richard",620446
"Lowe, Brandon",664040
