name,pitcher,pitches,hand,fastball,avg_velo,max_velo,offspeed_rate,primary_offspeed,avg_rel_ext,release_angle_ground
Lucas Luetge,476595,971,L,CUT,87.97433962264151,91.1,0.45417095777548916,SL,6.3020597322348095,85.15097919736897
Wandy Peralta,593974,815,L,FT,94.52236842105263,97,0.5815950920245399,CH,5.909213759213759,81.36101152624671
Brent Suter,608718,1070,L,FF,88.16556671449068,93,0.2925233644859813,CH,7.141495327102803,64.91352593060061
Jalen Beeks,656222,999,L,FF,95.52116182572614,98.2,0.5055055055055055,CH,6.547947947947948,83.06943654284984
Brennan Bernardino,657514,41,L,FT,91.71923076923076,93.1,0.36585365853658536,CB,5.770731707317073,57.36907591378484
Kirby Snead,669912,780,L,FT,92.77147239263803,95.5,0.44487179487179485,SL,6.177564102564102,64.04910767599263
Brooks Raley,548384,846,L,FT,89.37789473684211,91.6,0.5791962174940899,SL,5.704733727810651,61.99259843643925
Framber Valdez,664285,3017,L,FT,93.01239837398374,96.7,0.37122969837587005,CB,5.911368909512761,81.85494368066658
Kyle Freeland,607536,2839,L,FF,90.93661119515885,95.3,0.5463191264529764,SL,6.5480084596404655,74.13658507034026
Clayton Kershaw,477132,1842,L,FF,90.97074829931972,93.6,0.5960912052117264,SL,6.346116241173275,77.36783412065635
Nestor Cortes,641482,2465,L,FF,90.88873499538319,95,0.23326572008113589,SL,5.766138855054812,75.80072175712372
Eric Lauer,641778,2676,L,FF,92.82961702127659,96.1,0.3665919282511211,SL,6.170989505247376,75.59445819782893
Ranger Suárez,624133,2564,L,FT,92.05601941747572,95.5,0.3299531981279251,CH,6.1746879875195,68.96317285051957
Drew Smyly,592767,1723,L,FT,91.92825745682889,94.9,0.4329657573998839,KC,5.7790481717933835,72.36248952675201
Caleb Smith,592761,1234,L,FF,90.52989323843417,93.9,0.5437601296596435,SL,5.704294975688817,76.57220323391634
Sam Hentges,656529,944,L,FF,96.45775862068966,99.5,0.3707627118644068,CB,6.658050847457627,74.44112575317988
A. J. Minter,621345,1111,L,FF,96.46582278481013,98.7,0.18091809180918092,CH,6.211521152115211,67.5285914239432
Adrián Morejón,670970,540,L,FF,97.18552278820376,100.3,0.30925925925925923,SL,6.449074074074074,73.60818083619145
Jake Diekman,518617,1171,L,FF,95.41423076923077,98.9,0.36037574722459437,SL,6.333646456020495,57.38053662404205
Sam Moll,594580,737,L,FT,90.85562310030394,93.1,0.55359565807327,SL,4.675576662143826,67.72022641874108
Richard Bleier,542947,768,L,FT,90.18793565683646,92.3,0.22786458333333331,SL,6.652473958333333,62.960413629205334
A. J. Puk,640462,1072,L,FF,97.8337231968811,100.8,0.3824626865671642,SL,7.062126865671642,58.19617073226203
Génesis Cabrera,650893,736,L,FF,95.76666666666667,98.8,0.48233695652173914,CB,6.111141304347826,78.26377775537541
Packy Naughton,676050,562,L,FF,92.15333333333334,95.2,0.4626334519572954,CH,5.791103202846975,67.64057915926017
Tyler Matzek,554431,713,L,FF,94.0819012797075,97.7,0.23281907433380084,SL,6.292426367461431,74.67250813193269
Reiver Sanmartin,665665,1031,L,FT,88.6180995475113,93.7,0.5955383123181377,CH,6.3116666666666665,56.86536158432179
Caleb Ferguson,657571,580,L,FF,94.62164948453608,97.2,0.3310344827586207,CB,6.1096551724137935,67.04589632200057
Ross Detwiler,446321,471,L,CUT,83.79414634146342,87.7,0.06157112526539278,CB,5.540645161290323,75.29871763118658
Manny Banuelos,544365,718,L,FT,93.65033557046979,96,0.5863509749303621,CB,6.3774373259052926,71.106028212725775
Colin Poche,621363,974,L,FF,94.5605298013245,97.7,0.22484599589322382,CB,7.185508735868448,77.85284537204711
Tyler Holton,663947,159,L,FF,91.05,93.4,0.4716981132075472,CH,6.649056603773585,82.32802015157598
Ryan Borucki,621366,415,L,FT,95.49330143540669,98,0.4963855421686747,SL,6.637831325301205,71.24262334354952
José Alvarado,621237,881,L,FT,100.28729166666666,103.3,0.012485811577752554,CB,6.742905788876277,80.0202743509829
Lucas Gilbreath,656458,796,L,FF,93.92761578044598,97.2,0.2675879396984925,SL,6.210301507537689,78.40816957674373
Martín Pérez,527048,2979,L,FT,91.89875954198473,95.1,0.32494125545485064,CH,5.920745216515609,79.27395178923325
Blake Snell,605483,2341,L,FF,96.43913713405239,99.5,0.44468175993165315,SL,6.744254592054678,72.41328204576841
Madison Bumgarner,518516,2715,L,CUT,87.80222897669707,91.1,0.3023941068139963,CB,6.548508287292818,63.711272440219204
Patrick Sandoval,663776,2456,L,FF,92.48640429338104,96.9,0.629885993485342,SL,6.034867617107943,77.5611091246359
Robbie Ray,592662,3047,L,FF,93.2218151540383,97.7,0.3980964883491959,SL,6.457152252548504,67.1799340536228
José Quintana,500779,2724,L,FF,91.54367346938776,94.2,0.47613803230543317,CB,6.443392070484582,68.59262115466605
Mike Minor,501985,1750,L,FF,89.39889349930844,92.7,0.5845714285714286,SL,5.5445714285714285,80.82628944228966
Julio Urías,628711,2622,L,FF,92.3286970423661,95.6,0.507627765064836,CB,5.710148798168638,74.52708596700226
Jeffrey Springs,605488,2149,L,FF,91.58225806451613,94.4,0.5946952070730572,CH,6.451838064215915,69.10635336527862
Kris Bubic,663460,2262,L,FF,92.38600174978127,97.3,0.49469496021220155,CH,6.540318302387268,73.73410221215322
Bailey Falter,663559,1295,L,FT,93.1464953271028,96.5,0.3575289575289575,CB,7.446872586872587,80.90823671825663
Tommy Milone,543548,238,L,FF,86.007,87.9,0.5798319327731092,CH,6.003781512605042,65.39655690302904
Anthony Banda,607455,551,L,FF,94.8867816091954,97.1,0.47368421052631576,CH,6.223049001814882,72.13500850432119
Josh Hader,623352,943,L,FT,98.0842748091603,100.9,0.3054082714740191,SL,6.741039236479321,61.49969550829539
Steven Okert,595345,967,L,FF,93.4663430420712,96.3,0.6804550155118925,SL,6.30134436401241,60.57288465064862
Gregory Soto,642397,1101,L,FT,98.81796407185628,102.7,0.22615803814713897,SL,6.68755676657584,68.04261985142138
