pitcher,name,hand,cluster
664139,Ian Gibaut,R,3
641312,Shaun Anderson,R,2
676194,Jackson Tetreault,R,1
592346,Chi Chi González,R,4
621219,Alec Mills,R,5
656427,Jack Flaherty,R,4
670912,Johan Oviedo,R,4
676886,Jeremy Beasley,R,3
488984,Tommy Hunter,R,1
458681,Lance Lynn,R,1
666721,Max Castillo,R,4
596043,Daniel Mengden,R,5
657265,Peter Strzelecki,R,4
595191,Jerad Eickhoff,R,2
668873,Caleb Kilian,R,1
572703,Luke Bard,R,2
547184,Michael Kelly,R,2
656232,Brandon Bielak,R,2
657585,Reed Garrett,R,1
622786,Jesus Tinoco,R,2
543901,Ryan Weber,R,5
670329,Rico Garcia,R,3
668338,Tyson Miller,R,5
667725,Kyle Tyler,R,1
527055,Arodys Vizcaíno,R,3
665795,Edward Cabrera,R,2
673316,Luke Barker,R,1
544931,Stephen Strasburg,R,2
641656,Ian Hamilton,R,4
682051,Garrett Hill,R,4
656257,Jeff Brigham,R,4
657272,Erich Uelmen,R,5
676265,Cory Abbott,R,4
642546,Jonathan Hernández,R,3
642068,Jordan Sheffield,R,2
675916,James Karinchak,R,2
663734,Nick Neidert,R,4
657053,Touki Toussaint,R,2
623211,Huascar Brazoban,R,1
571882,Derek Law,R,1
672391,Kaleb Ort,R,4
542585,José Cisnero,R,3
673258,Michel Báez,R,2
664126,Pete Fairbanks,R,3
434671,Aníbal Sánchez,R,1
650530,Bryan Garcia,R,4
678394,Brayan Bello,R,3
606965,Chris Devenski,R,2
593334,Domingo Germán,R,2
656548,Jordan Holloway,R,2
665896,José Marte,R,1
592712,Connor Sadzeck,R,4
676974,Max Meyer,R,2
669935,A. J. Alexy,R,2
461325,Tyler Clippard,R,5
605463,Tayler Scott,R,2
663975,Nick Duron,R,3
657745,Bubby Rossman,R,3
572191,Michael Taylor,R,2
593140,Michael Feliz,R,2
664942,James Naile,R,1
642657,Cristofer Ogando,R,4
641672,Thomas Hatch,R,1
592169,Austin Brice,R,4
611093,Silvino Bracho,R,2
594798,Jacob deGrom,R,3
608652,Luke Farrell,R,2
656464,Kevin Ginkel,R,3
502624,Chase Anderson,R,2
655889,Manuel Rodríguez,R,3
643290,Justin Dunn,R,5
669711,Greg Weissert,R,4
656322,Sam Coonrod,R,3
608638,J. T. Chargois,R,3
489446,Kirby Yates,R,4
669093,Jeremiah Estrada,R,3
543351,Jay Jackson,R,4
665871,Javier Assad,R,1
677161,Zack Kelly,R,4
685503,Kohei Arihara,R,5
622103,Gerardo Reyes,R,1
669160,Dustin May,R,3
676917,Cade Cavalli,R,4
621121,Lance McCullers,R,2
663773,Bryan Hoeing,R,1
650204,Norge Ruíz,R,2
643615,T. J. Zeuch,R,2
656820,Nicholas Padilla,R,1
614177,Franmil Reyes,R,2
676130,José Butto,R,4
664202,Tyler Cyr,R,3
676206,Freddy Tarnok,R,3
571439,R. J. Alvarez,R,4
675540,Xzavion Curry,R,2
607609,A. J. Ladwig,R,2
622379,Luis Castillo,R,4
683769,Hunter Gaddis,R,1
656008,Aneurys Zabala,R,3
686973,Louie Varland,R,3
640470,Adbert Alzolay,R,3
663562,Noah Davis,R,4
663534,Nash Walters,R,1
660825,Eduard Bazardo,R,4
592848,Zack Weiss,R,4
656814,Luis Ortiz,R,4
668970,Gavin Hollowell,R,4
683232,Nick Mears,R,3
686972,Cole Waites,R,3
686613,Hunter Brown,R,3
622766,Miguel Díaz,R,2
518585,Fernando Cruz,R,2
669713,Hayden Wesneski,R,3
643361,Kevin Herget,R,1
607192,Tyler Glasnow,R,3
571946,Shelby Miller,R,4
663752,Cody Morris,R,1
680573,Simeon Woods Richardson,R,2
656578,Andre Jackson,R,2
668834,Easton McGee,R,4
623437,Justin Topa,R,3
681464,Frank German,R,3
686753,Drey Jameson,R,3
682847,Luis Ortiz,R,3
678692,Ronny Henriquez,R,4
621079,Collin Wiles,R,1
669194,Ryne Nelson,R,3
664871,Kyle Dowdy,R,3
642659,Raynel Espinal,R,4
630023,Yonny Chirinos,R,2
681867,Cooper Criswell,R,1
656755,Bryce Montes de Oca,R,3
657697,Vinny Nittoli,R,4
503556,Marwin Gonzalez,R,1
675912,Zac Lowther,L,4
592473,Adam Kolarek,L,5
543056,Danny Coulombe,L,2
663531,Logan Allen,L,2
669214,Conner Menez,L,4
572362,Robbie Erlin,L,5
670426,Phillip Diehl,L,5
657766,Locke St. John,L,5
607572,Sam Howard,L,2
641394,Jake Brentz,L,3
642048,Tayler Saucedo,L,4
644429,Anderson Severino,L,3
676103,Damon Jones,L,1
649144,Alex Wells,L,5
458677,Justin Wilson,L,3
424144,Oliver Pérez,L,5
448281,Sean Doolittle,L,1
572383,Brian Moran,L,5
607644,John Means,L,2
641743,Anthony Kay,L,3
682027,Cam Alldred,L,5
666720,Yerry Rodríguez,R,3
670102,Bowden Francis,R,2
